# K, H-K
1.637500000000000000e+01,1.631000000000000227e+00
1.398000000000000043e+01,1.353999999999999204e+00
1.557399999999999984e+01,9.000000000000003553e-01
1.637800000000000011e+01,2.233000000000000540e+00
1.556600000000000072e+01,2.165999999999998593e+00
1.556600000000000072e+01,2.173999999999997712e+00
1.660999999999999943e+01,1.157000000000000028e+00
1.602599999999999980e+01,4.439999999999990621e-01
1.662800000000000011e+01,9.059999999999988063e-01
1.683099999999999952e+01,6.799999999999997158e-01
1.795499999999999829e+01,5.040000000000013358e-01
1.476600000000000001e+01,1.712999999999999190e+00
1.358000000000000007e+01,1.691000000000000725e+00
1.706599999999999895e+01,1.262000000000000455e+00
1.349000000000000021e+01,2.805000000000001492e+00
1.713400000000000034e+01,4.499999999999992895e-01
1.738500000000000156e+01,8.799999999999990052e-01
1.738299999999999912e+01,1.128000000000000114e+00
1.771399999999999864e+01,1.604000000000002757e+00
1.653500000000000014e+01,-2.499999999999857891e-02
1.686299999999999955e+01,1.705000000000001847e+00
1.595500000000000007e+01,1.773999999999999133e+00
1.400500000000000078e+01,1.615999999999999659e+00
1.771099999999999852e+01,9.930000000000021032e-01
1.639600000000000080e+01,1.672999999999998266e+00
1.287800000000000011e+01,1.333999999999999631e+00
1.444299999999999962e+01,1.837999999999999190e+00
1.470700000000000074e+01,1.905999999999998806e+00
1.470100000000000051e+01,1.923999999999999488e+00
1.302200000000000024e+01,1.932999999999999829e+00
1.069699999999999918e+01,1.272000000000000242e+00
1.532600000000000051e+01,3.910000000000000142e-01
1.385100000000000087e+01,1.578999999999998849e+00
1.274399999999999977e+01,1.458000000000000185e+00
1.760999999999999943e+01,1.251000000000001222e+00
1.580400000000000027e+01,1.480999999999999872e+00
1.480499999999999972e+01,1.917999999999999261e+00
1.452100000000000080e+01,2.879999999999999005e+00
1.577500000000000036e+01,1.365999999999997883e+00
1.625000000000000000e+01,1.096000000000000085e+00
1.646999999999999886e+01,1.493000000000002103e+00
1.725499999999999901e+01,1.634000000000000341e+00
1.606800000000000139e+01,1.678999999999998494e+00
1.384800000000000075e+01,2.302999999999999048e+00
1.547000000000000064e+01,7.959999999999975984e-01
1.286899999999999977e+01,1.684000000000001052e+00
1.749200000000000088e+01,2.659999999999982379e-01
1.756299999999999883e+01,4.980000000000011084e-01
1.788599999999999923e+01,2.179999999999999716e-01
1.625600000000000023e+01,1.847999999999998977e+00
1.672599999999999909e+01,2.086000000000002075e+00
1.396000000000000085e+01,1.319999999999998508e+00
1.271899999999999942e+01,1.505000000000000782e+00
1.503999999999999915e+01,1.823000000000000398e+00
1.424900000000000055e+01,1.336999999999999744e+00
1.371499999999999986e+01,1.631000000000000227e+00
1.450500000000000078e+01,1.439000000000000057e+00
1.480799999999999983e+01,1.510999999999999233e+00
1.068999999999999950e+01,1.672000000000000597e+00
1.365700000000000003e+01,1.587999999999999190e+00
1.788700000000000045e+01,9.950000000000009948e-01
1.454400000000000048e+01,1.797999999999998266e+00
1.623900000000000077e+01,4.519999999999981810e-01
1.478599999999999959e+01,1.003000000000000114e+00
1.497799999999999976e+01,2.215000000000001634e+00
1.767000000000000171e+01,5.379999999999967031e-01
1.402999999999999936e+01,2.015000000000002345e+00
1.703600000000000136e+01,1.136999999999996902e+00
1.710399999999999920e+01,5.330000000000012506e-01
1.613800000000000168e+01,1.864999999999998437e+00
1.607499999999999929e+01,1.765000000000000568e+00
1.446100000000000030e+01,1.416000000000000369e+00
1.453400000000000070e+01,1.432999999999999829e+00
1.656800000000000139e+01,1.532000000000000028e+00
1.748799999999999955e+01,3.850000000000015632e-01
1.446299999999999919e+01,1.275000000000000355e+00
1.506499999999999950e+01,1.631999999999999673e+00
1.758299999999999841e+01,7.630000000000016769e-01
1.741300000000000026e+01,1.585000000000000853e+00
1.683800000000000097e+01,8.219999999999991758e-01
1.682300000000000040e+01,1.182999999999999829e+00
1.740500000000000114e+01,1.291999999999998039e+00
1.476200000000000045e+01,1.570000000000000284e+00
1.697299999999999898e+01,1.871000000000002217e+00
1.809799999999999898e+01,1.195000000000000284e+00
1.751399999999999935e+01,1.749000000000002331e+00
1.739300000000000068e+01,1.431999999999998607e+00
1.491000000000000014e+01,1.451000000000000512e+00
1.576200000000000045e+01,1.762000000000000455e+00
1.447799999999999976e+01,1.285999999999999588e+00
1.629700000000000060e+01,9.869999999999983231e-01
1.557600000000000051e+01,1.829999999999998295e+00
1.440300000000000047e+01,2.749999999999998224e+00
1.574799999999999933e+01,1.488000000000001322e+00
1.524799999999999933e+01,1.616000000000001435e+00
1.687300000000000111e+01,1.520999999999997243e+00
1.637399999999999878e+01,2.560000000000002274e-01
1.575999999999999979e+01,1.779000000000001691e+00
1.534699999999999953e+01,1.430000000000001492e+00
1.665399999999999991e+01,1.225999999999999091e+00
1.365099999999999980e+01,1.356999999999999318e+00
1.516399999999999970e+01,1.657000000000001805e+00
1.452899999999999991e+01,3.480000000000007532e-01
1.440300000000000047e+01,1.551000000000000156e+00
1.555799999999999983e+01,1.525999999999999801e+00
1.611100000000000065e+01,1.236000000000000654e+00
1.746499999999999986e+01,1.565999999999998948e+00
1.693499999999999872e+01,1.536000000000001364e+00
1.768100000000000094e+01,1.286999999999999034e+00
1.436400000000000077e+01,1.485999999999998877e+00
1.437400000000000055e+01,2.115000000000000213e+00
1.450300000000000011e+01,1.699000000000001620e+00
